,,classical,local,global
Remove 1 random gate,Ps,88.3 ± 25.7,98.5 ± 6.5,98.2 ± 7.0
Remove 1 random gate,∅s,1.4 ± 1.2,1.0 ± 0.2,1.0 ± 0.2
Remove 1 random gate,∅t,0.5 ± 0.3,0.5 ± 0.3,0.6 ± 0.4
Remove 2 random gates,Ps,91.7 ± 23.2,98.6 ± 6.4,98.3 ± 6.9
Remove 2 random gates,∅s,1.3 ± 1.0,1.0 ± 0.2,1.0 ± 0.1
Remove 2 random gates,∅t,0.5 ± 0.3,0.5 ± 0.3,0.6 ± 0.4
Remove 3 random gates,Ps,93.9 ± 21.4,98.7 ± 6.1,98.4 ± 6.9
Remove 3 random gates,∅s,1.2 ± 1.0,1.0 ± 0.1,1.0 ± 0.1
Remove 3 random gates,∅t,0.5 ± 0.3,0.5 ± 0.3,0.6 ± 0.4
Add 1 random gate,Ps,82.7 ± 27.2,98.5 ± 5.8,98.1 ± 7.1
Add 1 random gate,∅s,1.4 ± 1.2,1.0 ± 0.1,1.0 ± 0.2
Add 1 random gate,∅t,0.4 ± 0.3,0.4 ± 0.3,0.5 ± 0.3
Add 2 random gate,Ps,85.8 ± 25.7,98.0 ± 7.2,97.7 ± 7.6
Add 2 random gate,∅s,1.3 ± 1.0,1.0 ± 0.1,1.0 ± 0.2
Add 2 random gate,∅t,0.4 ± 0.3,0.5 ± 0.3,0.5 ± 0.4
Add 3 random gate,Ps,89.9 ± 22.5,98.3 ± 6.3,98.5 ± 6.1
Add 3 random gate,∅s,1.3 ± 0.9,1.0 ± 0.1,1.0 ± 0.1
Add 3 random gate,∅t,0.4 ± 0.3,0.4 ± 0.3,0.5 ± 0.3
Add 10 random Toffolis at beginning,Ps,79.3 ± 27.7,98.4 ± 6.3,98.2 ± 6.1
Add 10 random Toffolis at beginning,∅s,1.5 ± 1.2,1.0 ± 0.1,1.0 ± 0.1
Add 10 random Toffolis at beginning,∅t,0.4 ± 0.3,0.4 ± 0.3,0.5 ± 0.3
Add 10 random Toffolis at end,Ps,78.6 ± 27.2,98.2 ± 6.8,97.5 ± 8.5
Add 10 random Toffolis at end,∅s,1.5 ± 1.2,1.0 ± 0.2,1.0 ± 0.2
Add 10 random Toffolis at end,∅t,0.4 ± 0.3,0.4 ± 0.3,0.5 ± 0.3
Overall,Ps,86.3 ±25.1,98.4 ±6.4,98.1 ±7.0
Overall,∅s,1.4 ±1.1,1.0 ±0.1,1.0 ±0.2
Overall,∅t,0.4 ±0.3,0.5 ±0.3,0.5 ±0.4
